From,Total_Value_IN
0xfea3c2378bb047fae9682b35603b03ae39bd263b,0.1
0xfe9fee8a2ebf2ff510a57bd6323903a659230f21,0.1
0xfe9d31b4161108ae6f8ef77e814148a38b9be370,0.1
0xfe9abeab507eb60b60b68cb5687e3abc325f4e9a,0.1
0xfe98395be28efa0c482488ba984e5be3cedc630d,0.1
0x0285cbf69adbeb0a9522f5037095b95c59d3aebb,0.1
0x02805fcdaa35f8016be3575ff9dec58c2aed27e5,0.1
0x0279707ccc3aa3c9b6a0af968572be5cb98ad98b,0.1
0x02777cc3bce520a53fccedc34675dc42405777b3,0.1
0x02750499b551c45fa6a898da50af2d3f62208ff5,0.1
0x026f35fed7640438988ebdfc239e687562e62ea9,0.1
0x025216ae3759ea5b149b4185343f6a569e9ea8e6,0.1
0xc4a35eba4536bdbe06a74bd8358d67aa0415f3d4,0.1
0xc1eb03ca6a3c92a2c234c927ff8a01e8f9db43fb,0.1
0xa7c41fb53723eda8ae325984bd42b3df8a3e9741,0.1
0xc4f52730afbc92a940cefa8e47a7c59a6f69c4f7,0.1
0xc4ebb1f93970a07886bd1eae614e8c8f21626dcc,0.1
0xc4dfb94e1c359fc1605a85192f6fc9cfe1f369d5,0.1
0xc4d28230dbf3e250bb385e110c387109dcc30f42,0.1
0x73624b29667b8ce45ea95465d00160b76a8e1189,0.1
0x735bf6b7f888abd3bd9d3bfe2faf336dbdcac996,0.1
0xc1f3ebe56fe3a32adac585e7379882cf0e5a6d87,0.1
0x6e13c515863ab33f15d22ded1ba2f0bc7643c6c0,0.1
0x6e07ce746149391dc5979e0b2e6fcbd8c4e963b7,0.1
0x6dfed17b6fabfffd558e2069d204cc38ecad3fd1,0.1
0x6df6143de1523ca35fc8a3dc5eb40ec8defd2b6e,0.1
0x02bc40afd2a8607b212514f8e0f68532be670511,0.1
0x02afa05ef9d7b82c32bbdc23c02ae08e10208bcc,0.1
0x029acedb7b11bda0fffe2c57d3c1b72467408c66,0.1
0x02931a2c64ad02e9b6a1c45c8501c2df39142c45,0.1
0x02e8cd72529528fb478b85ac9802070cafa900dd,0.1
0x02d0f703f157a7b704b3022e009492c4944de9f0,0.1
0xfe9029dbcc852b4e30b4586607cf6ddc14b1117f,0.1
0xfe8fbc700d3b2cec10ba28f38d08a191978d0c1a,0.1
0xc51447ad3b831dfc5603b92bfa46a06637250851,0.1
0xc50aefd2e5cada0d0d6048a4de8bd9aa63a0b808,0.1
0xc5082375f23c9ac2196cb2198ec02e107af20d51,0.1
0x6d76bcccde8332d5dc88f402c12ad5f7ed409b5e,0.1
0x6d769d79b600a2017e9ede1a60e96af007babfb2,0.1
0x6d656b2c69c241fe5724173f9e3cd399823450b9,0.1
0x6d62f88fe5273b33f7d3e2f84eab5a5d3da63ecc,0.1
0x6dd8e05862c09eca95478084b1ac3c3b1c042f79,0.1
0x6dcded6f90e9b37f0cc301f32234971d3924a926,0.1
0x6dcad7ef152064528af7dcb012fbb76f49deb604,0.1
0x02c83aa6f0564a2e01a689c65ec6133ef3213e69,0.1
0xa5c86e0797d2f69a3920b65187ef6e8a2f6a4990,0.1
0xc5293e92248e062bdbccc9d7dd37c3f1339ce673,0.1
0xc1cd31c394edc5c648dc376a51d43e4f9ad2465c,0.1
0xfe6acfc50c45156024eb854a6c4305e08d9c6e75,0.1
0xfe691f8ce1572a818f3828c158642c44be5dcc08,0.1
0xa5ae4879f13f3c9bfd9939cd76644e4ebe7a612c,0.1
0x02ff7c9269a689f66c71cc210063eddeaf64b505,0.1
0x6d5c0aef6054f7480e607a4675418d3a7bb30475,0.1
0x6d521953d3edb6b82ebc0188822ce4a1b0f9693d,0.1
0x73957fcda1363399593c1bc281d529fe08fa8abc,0.1
0x738cbfb8dfdefb33f72e42fcf63a2e6ea627ad83,0.1
0x738c78f231a8947816ea3d8582fb7f7523507683,0.1
0x7380ddb8a953675164dfae3374533dcf9fcc2e88,0.1
0x736f9c2f568709580f45f4726e9abeabc7f121a0,0.1
0xc548487148ef83ef6b0dc3d2b7953a59c1be89bb,0.1
0x02eeef039702af10806e9e881fb034468a791471,0.1
0x02ebc38f9ddaebc16f4a2f4e9c90cee0b9eac910,0.1
0x2d0f061392cb47019d3d92e3a15efddd609eb5d7,0.1
0xe770cf37be4cd0edc83ffd3f6e2a05e8bd157fe0,0.1
0x2f5737f94d62711639bb53b6aebe047843ba291d,0.1
0x2f53fc0f66e6703f0070d0cb466b2518af4da909,0.1
0x2f4d96290ae2328c8f654f31d26c9706ebf786c7,0.1
0x2f4ca6374ecf456dec8f257df1b80d55c10820c7,0.1
0xe64f06f695de4c4e21ba8f383a2675fd884ac720,0.1
0xe639a5b0cd39d2b05d15616b33460799682fa72d,0.1
0xe76915a10948d5125f64c91db1108dc2e087a03d,0.1
0x031e1fb607815f8cb5e6af3a1c779f0935d332d1,0.1
0x03120fa0528416b0c04485688125851566cbf102,0.1
0x030e1dab4c25a559142cd84464a88912a4e754ee,0.1
0xfe70e4fdd19489d1384e50cc2dbfe993f7b94589,0.1
0xfe6b7a4494b308f8c0025dcc635ac22630ec7330,0.1
0xc530f18b6f858beca76db5d6465f20e8fde62484,0.1
0xc52cee743dce394b2a6e841cef844c941d38ff42,0.1
0x73ba9df08720a08ce9f65d555a47a95811177b8e,0.1
0x6d0436ad1716ef294d681325045345d7020cd040,0.1
0x6d0305c0d5b5754c3c20c84fb471157f4d2b5971,0.1
0x6cfb81d6bc6be918df51c44819f7af0d625d803c,0.1
0x6cf866561819c84ddfd788b9930335b1111da3e4,0.1
0xc56ad0c9ca0b3c855144dcef9d63aa7427e0a082,0.1
0xc5683202b29787f0a233b1b913882e44c60b656e,0.1
0x6d4002c19343432c2cc17b653acfb57276e05c5a,0.1
0x6d2a9c8e6770dc5ba735d57ea7c8e0d8da5b5d91,0.1
0x6d234d7b81e1862c6dc08cef5cf84f06ad8a0cdb,0.1
0x0336d7ad3286727fb5bfb037519a700be842e25d,0.1
0xe74a0a8a5564d7fe3a6ccde672231f4ebb951c12,0.1
0x2d2c46d26c8fec693586e067c4fc2b2ddc2b4cb3,0.1
0x2d237efdd124bec89676c5ba1897bb9daff72c09,0.1
0x2d1f24c8837a94e28e0c2a5e723e190a333b00b9,0.1
0x2d15098034675b36dca1cae120aac7f63b552415,0.1
0x6cbc069f5b9a428affc3903a10538192d295e292,0.1
0x0378ceaf6f891c54b676047886bc642f0143c906,0.1
0xa5923e94f4a2a2618cd63ee598958d04156654e2,0.1
0xa7e435ea3ec099390683e613012fdad89b1ae710,0.1
0xa7d9ddbe1f17865597fbd27ec712455208b6b76d,0.1
0xa7d7c4dbf0e10df53b7e7a5eef73daeb0b83b352,0.1
0xa7d7ac8fe7e8693b5599c69cc7d4f6226677845b,0.1
0xa7d65cd81f3631b9823a511a7f4bdddf081945f7,0.1
0xc54f010180f3b6472766647256c0a0d1b50b9e4a,0.1
0xc54ecae05016226268bc2b284c9ecbf1481c95db,0.1
0xc54ce53f7dc54280c598b62d258e98ed1cd8c41e,0.1
0xc54b804efced8f18514766dadbe28ede1c7ef04c,0.1
0x73eb91494c60aed06d0d6a8ea3abeb6078027bc6,0.1
0x73ea96d1de68aa090585e4c986d63b61b1b5e333,0.1
0x73ea5366a6cb7490289e364e14229105435c1ae1,0.1
0x036d15b24ef2aa31b6e62c7cc46b99f6c6c68c4b,0.1
0x6c7f248dfd1d3f147cd5c31809e1424eb60e316b,0.1
0x6c93bcf7a2ddf2b45a59614890afa6e14459f1b1,0.1
0x6c90d6736d8df3efa3611377520816aef5022957,0.1
